NOMBRE,CANTIDAD,LUGAR
FUENTES,1,OFICINA
CASCO DE SEGURIDAD,30,OFICINA
CHALECOS DE SEGURIDAD,31,OFICINA
SIERRA CINTA (para sierra azul),1,OFICINA
PLANCHA KOBLENZ,1,OFICINA
LIJADORA ORBITAL MAKITA,2,OFICINA
PISTOLAS DE PINTAR,2,OFICINA
ACEITERAS,2,OFICINA
LENTE LASER,1,OFICINA
PINZAS DE CORTE,4,OFICINA
PINZAS DE PUNTA,5,OFICINA
PINZAS PELACABLES,2,OFICINA
PILAS 9V. CUADRADAS (12),2,OFICINA
JUEGO DESTORNILLADORES (relojeros),2,OFICINA
PILAS 3V,3,OFICINA
PILAS 1.5V,9,OFICINA
PLANCHA KOBLENZ,6,OFICINA
"DISCOS PARA METAL 14""",4,OFICINA
"DISCOS PARA METAL 4 1/2""",5,OFICINA
TRANSFORMADORES,4,OFICINA
PULIDORAS MILWAKEE,2,OFICINA
PULIDORA MAKITA,1,OFICINA
GUANTES MULTIUSOS,4,OFICINA
FLEXÓMETROS,5,OFICINA
DREMEL,2,OFICINA
TALADROS DE PILA (amarillos),2,OFICINA
"LLAVES PERICAS 10""",2,OFICINA
JUEGOS DE BORCAS MILWAUKEE,3,OFICINA
VERNIER ANALOGICOS,3,OFICINA
PLOMADAS ,3,OFICINA
MICROMETRO DIGITAL (3109-25A),3,OFICINA
"VERNIER INSIZE 6"" (1108-150)",3,OFICINA
"VERNIER INSIZE 8"" (1108-200)",1,OFICINA
VERNIER MITUTOYO (500-753-20),1,OFICINA
VERNIER SURTEK ,3,OFICINA
MICROMETROS INSIZE (3203-1A),3,OFICINA
MICROMETRO INSIZE (3203-1AM),2,OFICINA
MICROMETRO DASQUA INTERTUS,1,OFICINA
"VERNIER DIGITAL PITTSBURGH 6""",1,OFICINA
"MICROMETRO MITUTOYO 1""",1,OFICINA
INDICADORES MITUTOYO DE CARATULA,4,OFICINA
MICROMETROS MITUTOYO,5,OFICINA
MEDIDOR DE GRADOS ,5,OFICINA
LUXOMETRO STEREN,1,OFICINA
ENVIROMENT METER,1,OFICINA
TACOMETRO DIGITAL,2,OFICINA
MICROMETRO INTERIOR TITANIUM (caja azul),1,OFICINA
CRONOMETROS,6,OFICINA
RASPBERRY,4,OFICINA
TERMINAL BLOCK (allen-bradley),1,OFICINA
LCD STOP WATCH,1,OFICINA
VERNIER ANALOGICO INSIZE (1205-1505),5,OFICINA
REGULADOR TRABAJO MEDIANO,1,OFICINA
MULTIMETRO TENMA 72-7745,2,OFICINA
MULTIMETROS TENMA 72-10420A,9,OFICINA
CAUTIN TENMA 60 WATTS,2,OFICINA
FLEXOMETRS 10 M,3,OFICINA
FLEXOMETRO 30 M,3,OFICINA
BRUJULAS COMPASS,3,OFICINA
CAMARA HIKVISION,1,OFICINA
DISCOS PARA DESBASTE,7,OFICINA
PISTOLA DE GRAPAS,1,OFICINA
PISTOLA DE CLAVOS,1,OFICINA
AUTO LEVEL TOPCON AT-B SERIES (caja amarilla),2,OFICINA
TALADROS ELECTRICOS ,2,OFICINA
CNC HAAS MACHINE TOOLS,1,OFICINA
PESAS FESTO,1,OFICINA
CAJA COLLET (19),1,OFICINA
ESTUCHE HERRAMIENTAS PEQUEÑAS (caja naranja),1,OFICINA
GENERADOR 4003 A BK PRECISION,11,OFICINA
GENERADORES TENMA 72-7210,4,OFICINA
CALADORA MILKWAUKEE,1,OFICINA
SIERRA CINTA MANUAL ,1,OFICINA
PISTOLAS DE SILICON ,7,OFICINA
PROTOBOARD NI ELVIS,7,OFICINA
PROTOBOARD ITCH,1,OFICINA
EMBUDOS (rojos),2,OFICINA
TARRAJAS Y MACHUELOS (caja gris),1,OFICINA
CAJA DE SOLDADURA GDE,1,OFICINA
PANEL SOLAR ,1,OFICINA
EXTENSIONES,5,OFICINA
MULTIPLES,6,OFICINA
PLACAS FENOLICAS,2,OFICINA
