NOMBRE,CANTIDAD,LUGAR
CHUCK,4,TALLER DE HERRAMIENTAS
CABEZAL DIVISOR,1,TALLER DE HERRAMIENTAS
MOTO REDUCTOR,1,TALLER DE HERRAMIENTAS
PLATOS PARA TORNO,2,TALLER DE HERRAMIENTAS
MOTOR ELECTRICO,1,TALLER DE HERRAMIENTAS
FRESADORA DE BASE FIJA,1,TALLER DE HERRAMIENTAS
CEPILLO ELECTRICO,1,TALLER DE HERRAMIENTAS
HERRAMIENTA PARA MODULO,2,TALLER DE HERRAMIENTAS
JUEGO DE TARRAJAS PARA TUBO (caja roja),1,TALLER DE HERRAMIENTAS
SIERRA ELECTRICA (roja),1,TALLER DE HERRAMIENTAS
CEPILLO PARA MADERA,1,TALLER DE HERRAMIENTAS
PRENSA,2,TALLER DE HERRAMIENTAS
TORNILLO DE BANCO (azul),1,TALLER DE HERRAMIENTAS
TORNILLO DE BANCO (rojo),1,TALLER DE HERRAMIENTAS
CEPILLO INDUSTRIAL ELECTRICO,1,TALLER DE HERRAMIENTAS
ULTRASONIC HUMIDIFIER,1,TALLER DE HERRAMIENTAS
GENERADOR GP 3600,1,TALLER DE HERRAMIENTAS
COMPRESOR PRETUL 20L LUBRICADO,1,TALLER DE HERRAMIENTAS
INGLETADORA MAKITA,1,TALLER DE HERRAMIENTAS
ANTICONGELANTE PEAK BOTE AZUL 20 LITROS CUBETA,1,TALLER DE HERRAMIENTAS
TUBOCUT 4140 (CUBETA 20 LITROS),1,TALLER DE HERRAMIENTAS
CEPILLO METALICO (CAJA AMARILLA),1,TALLER DE HERRAMIENTAS
EMBUDO,1,TALLER DE HERRAMIENTAS
PANELES SOLARES,10,TALLER DE HERRAMIENTAS
BASES IMPRESORAS 3D ,1,TALLER DE HERRAMIENTAS
ARNES CARETA COVID,1,TALLER DE HERRAMIENTAS
CAJAS ROBOT (ROBO BUILDER,3,TALLER DE HERRAMIENTAS
DISCOS DE DESBASTE,2,TALLER DE HERRAMIENTAS
DISCO DE CORTE BOSCH (MULTIMATERIAL),1,TALLER DE HERRAMIENTAS
"DISCO DE CORTE (10"" 40 DIENTES)",1,TALLER DE HERRAMIENTAS
