NOMBRE,CANTIDAD,LUGAR
SIERRA DE MESA RYOBI,1,TALLER DE MADERA Y METAL
TORNO DE MADERA KNOVA,1,TALLER DE MADERA Y METAL
CNC ROUTER ASIA ROBOTICA,1,TALLER DE MADERA Y METAL
CNC HAAS,1,TALLER DE MADERA Y METAL
FRESADORA ,1,TALLER DE MADERA Y METAL
TORNO TITANIUM,1,TALLER DE MADERA Y METAL
TORNO TAKOMA,1,TALLER DE MADERA Y METAL
ESMERIL BALDOR,1,TALLER DE MADERA Y METAL
TALADRO BANCO CENTRAL MACHINE,1,TALLER DE MADERA Y METAL
TALADRO DE BANCO DELTA,1,TALLER DE MADERA Y METAL
TALADRO DE BANCO TRUPER (nuevo),1,TALLER DE MADERA Y METAL
TORNILLOS DE BANCO,6,TALLER DE MADERA Y METAL
TORNO CENTRAL MACHINE (rojito),1,TALLER DE MADERA Y METAL
SIERRA CINTA MILKWAUKEE,1,TALLER DE MADERA Y METAL
MANGUERA DE 15 MTS,1,TALLER DE MADERA Y METAL
