NOMBRE,CANTIDAD,LUGAR
SOLDADORA INFRA MM252,1,TALLER DE SOLDADURA
PILAS LTH,5,TALLER DE SOLDADURA
TALADRO DE BANCO,1,TALLER DE SOLDADURA
SOLDADORA INFRA MM252,1,TALLER DE SOLDADURA
TANQUE OXIGENO,1,TALLER DE SOLDADURA
TANQUE ACETILENO,1,TALLER DE SOLDADURA
COMPRESOR NEGRO (no sirve),1,TALLER DE SOLDADURA
CARGADOR DE BATERIAS SHUMA CHEV,1,TALLER DE SOLDADURA
DOBLADORA DE TUBO (amarilla),1,TALLER DE SOLDADURA
SIERRA CINTA SATURNO,1,TALLER DE SOLDADURA
ASPIRADORA RID GID,1,TALLER DE SOLDADURA
SOLDADORA LINCOLN,1,TALLER DE SOLDADURA
SOLDADORA DE MICROALAMBRE CHICAGO,1,TALLER DE SOLDADURA
ESMERIL MILWAUKEE,1,TALLER DE SOLDADURA
TALADRO DE BANCO CENTRAL  MACHINERY,1,TALLER DE SOLDADURA
CORTADORA DE FIERRO MILWAUKEE,1,TALLER DE SOLDADURA
ESMERIL ANARANJADO,1,TALLER DE SOLDADURA
HORNO IMPERIAL 3 (no sirve),1,TALLER DE SOLDADURA
CASCO ELECTRONICO CHICAGO,1,TALLER DE SOLDADURA
CASCO PARA  SOLDAR,4,TALLER DE SOLDADURA
